lad_code,lad_name,total_hh,share_detached,share_semi,share_terraced,share_flats,share_flat_purpose,share_flat_converted,share_owned,share_rented_private,share_rented_social,share_65plus,epc_share_A,epc_share_B,epc_share_C,epc_share_D,epc_share_E,epc_share_F,epc_share_G,share_epc_d_or_worse,epc_certificates,epc_source
E06000018,Nottingham,249490,0.078,0.1664,0.1369,0.1119,0.0922,0.0151,0.4514,0.2861,0.2549,,0.0077,0.0966,0.4121,0.3644,0.106,0.0113,0.002,0.4837,108227,real
E07000170,Ashfield,109016,0.1515,0.2104,0.0972,0.039,0.0318,0.0038,0.6742,0.1706,0.1491,,0.01,0.0516,0.3887,0.4109,0.0988,0.03,0.01,0.5497,2,synthesized_fallback_low_coverage
E07000171,Bassetlaw,102916,0.1757,0.207,0.0788,0.034,0.0274,0.004,0.6824,0.1623,0.1496,,0.01,0.0514,0.3891,0.4106,0.099,0.03,0.01,0.5496,0,synthesized
E07000172,Broxtowe,96726,0.1811,0.1798,0.0808,0.0547,0.0468,0.0045,0.7124,0.1728,0.1104,,0.0045,0.095,0.3152,0.4403,0.1252,0.0169,0.003,0.5854,31717,real
E07000173,Gedling,103104,0.1951,0.1721,0.0744,0.0546,0.0475,0.0041,0.7384,0.1589,0.0969,,0.0101,0.1266,0.3278,0.3874,0.127,0.019,0.0021,0.5355,34656,real
E07000174,Mansfield,96062,0.1519,0.2163,0.0836,0.0452,0.0374,0.0049,0.6403,0.1887,0.1637,,0.01,0.0518,0.3876,0.4119,0.0986,0.03,0.01,0.5505,0,synthesized
E07000175,Newark and Sherwood,106662,0.1906,0.1859,0.0787,0.0379,0.0315,0.0039,0.6899,0.1617,0.139,,0.01,0.0515,0.3893,0.4103,0.0989,0.03,0.01,0.5492,0,synthesized
E07000176,Rushcliffe,99768,0.2343,0.1543,0.0561,0.0496,0.0382,0.0088,0.757,0.1466,0.0857,,0.0154,0.2304,0.2957,0.332,0.1045,0.0183,0.0037,0.4585,36252,real
E09000001,City of London,9828,0.0007,0.0015,0.0079,0.4622,0.4348,0.0067,0.3651,0.4829,0.1486,,0.0006,0.2618,0.4103,0.2365,0.0836,0.0042,0.003,0.3273,4943,real
E09000002,Barking and Dagenham,147798,0.0254,0.1107,0.2081,0.1542,0.1384,0.0107,0.4238,0.2421,0.3149,,0.0058,0.2074,0.3067,0.3936,0.0784,0.0065,0.0016,0.4801,58284,real
