lad_code,lad_name,summer_tmax_mean,summer_tmax_p95,summer_tmin_mean,summer_tmin_p95,warming_since_baseline_c,share_flats,share_epc_d_or_worse,share_rented_private,share_rented_social,share_65plus,total_hh,sub_daytime_heat,sub_nighttime_heat,sub_warming_trend,sub_housing_form,sub_social_vuln,sub_urban_density,overheating_risk_score,risk_tier,met_region,epc_source,epc_certificates
E06000018,Nottingham,20.94,23.78,11.3,12.72,1.49,0.1119,0.4837,0.2861,0.2549,,249490,72.25000000000001,34.00000000000001,59.599999999999994,23.954166666666673,26.58571428571429,100.0,48.28,Medium,Midlands,real,108227
E07000170,Ashfield,20.94,23.78,11.3,12.72,1.49,0.039,0.5497,0.1706,0.1491,,109016,72.25000000000001,34.00000000000001,59.599999999999994,31.2125,10.085714285714285,43.135,40.6,Medium,Midlands,synthesized_fallback_low_coverage,2
E07000171,Bassetlaw,20.94,23.78,11.3,12.72,1.49,0.034,0.5496,0.1623,0.1496,,102916,72.25000000000001,34.00000000000001,59.599999999999994,31.2,8.9,39.3225,39.98,Medium,Midlands,synthesized,0
E07000172,Broxtowe,20.94,23.78,11.3,12.72,1.49,0.0547,0.5854,0.1728,0.1104,,96726,72.25000000000001,34.00000000000001,59.599999999999994,35.675000000000004,10.4,35.45375,40.7,Medium,Midlands,real,31717
E07000173,Gedling,20.94,23.78,11.3,12.72,1.49,0.0546,0.5355,0.1589,0.0969,,103104,72.25000000000001,34.00000000000001,59.599999999999994,29.4375,8.414285714285716,39.44,39.58,Medium,Midlands,real,34656
E07000174,Mansfield,20.94,23.78,11.3,12.72,1.49,0.0452,0.5505,0.1887,0.1637,,96062,72.25000000000001,34.00000000000001,59.599999999999994,31.312500000000004,12.671428571428573,35.03875,40.33,Medium,Midlands,synthesized,0
E07000175,Newark and Sherwood,20.94,23.78,11.3,12.72,1.49,0.0379,0.5492,0.1617,0.139,,106662,72.25000000000001,34.00000000000001,59.599999999999994,31.150000000000006,8.814285714285717,41.66375,40.19,Medium,Midlands,synthesized,0
E07000176,Rushcliffe,20.94,23.78,11.3,12.72,1.49,0.0496,0.4585,0.1466,0.0857,,99768,72.25000000000001,34.00000000000001,59.599999999999994,19.812500000000004,6.6571428571428575,37.355,37.29,Medium,Midlands,real,36252
E09000001,City of London,22.06,25.22,12.01,13.64,1.65,0.4622,0.3273,0.4829,0.1486,,9828,90.24999999999999,45.50000000000001,65.99999999999999,33.59583333333333,50.0,0.0,51.6,Medium,SE_and_Central_S_England,real,4943
E09000002,Barking and Dagenham,22.06,25.22,12.01,13.64,1.65,0.1542,0.4801,0.2421,0.3149,,147798,90.24999999999999,45.50000000000001,65.99999999999999,27.029166666666672,20.3,67.37375,51.22,Medium,SE_and_Central_S_England,real,58284
E09000003,Barnet,22.06,25.22,12.01,13.64,1.65,0.2336,0.459,0.3271,0.1345,,297834,90.24999999999999,45.50000000000001,65.99999999999999,31.00833333333334,32.44285714285714,100.0,57.63,Medium,SE_and_Central_S_England,real,113316
