year,month,value,month_num,date,variable,region
1884,jan,7.3,1,1884-01-01,tmax,UK
1884,feb,6.8,2,1884-02-01,tmax,UK
1884,mar,8.5,3,1884-03-01,tmax,UK
1884,apr,10.1,4,1884-04-01,tmax,UK
1884,may,14.5,5,1884-05-01,tmax,UK
1884,jun,17.1,6,1884-06-01,tmax,UK
1884,jul,18.8,7,1884-07-01,tmax,UK
1884,aug,20.2,8,1884-08-01,tmax,UK
1884,sep,17.0,9,1884-09-01,tmax,UK
1884,oct,11.8,10,1884-10-01,tmax,UK
1884,nov,7.5,11,1884-11-01,tmax,UK
1884,dec,5.8,12,1884-12-01,tmax,UK
1885,jan,4.3,1,1885-01-01,tmax,UK
1885,feb,7.3,2,1885-02-01,tmax,UK
1885,mar,7.2,3,1885-03-01,tmax,UK
1885,apr,10.8,4,1885-04-01,tmax,UK
1885,may,11.8,5,1885-05-01,tmax,UK
1885,jun,17.0,6,1885-06-01,tmax,UK
1885,jul,19.4,7,1885-07-01,tmax,UK
1885,aug,16.8,8,1885-08-01,tmax,UK
1885,sep,15.0,9,1885-09-01,tmax,UK
1885,oct,9.3,10,1885-10-01,tmax,UK
1885,nov,7.5,11,1885-11-01,tmax,UK
1885,dec,5.9,12,1885-12-01,tmax,UK
1886,jan,3.7,1,1886-01-01,tmax,UK
1886,feb,3.4,2,1886-02-01,tmax,UK
1886,mar,6.1,3,1886-03-01,tmax,UK
1886,apr,10.5,4,1886-04-01,tmax,UK
1886,may,13.1,5,1886-05-01,tmax,UK
1886,jun,16.4,6,1886-06-01,tmax,UK
1886,jul,18.7,7,1886-07-01,tmax,UK
1886,aug,18.5,8,1886-08-01,tmax,UK
1886,sep,16.0,9,1886-09-01,tmax,UK
1886,oct,12.9,10,1886-10-01,tmax,UK
1886,nov,8.6,11,1886-11-01,tmax,UK
1886,dec,4.1,12,1886-12-01,tmax,UK
1887,jan,4.8,1,1887-01-01,tmax,UK
1887,feb,6.9,2,1887-02-01,tmax,UK
1887,mar,6.7,3,1887-03-01,tmax,UK
1887,apr,9.9,4,1887-04-01,tmax,UK
1887,may,13.0,5,1887-05-01,tmax,UK
1887,jun,19.8,6,1887-06-01,tmax,UK
1887,jul,20.7,7,1887-07-01,tmax,UK
1887,aug,19.1,8,1887-08-01,tmax,UK
1887,sep,14.5,9,1887-09-01,tmax,UK
1887,oct,10.0,10,1887-10-01,tmax,UK
1887,nov,6.6,11,1887-11-01,tmax,UK
1887,dec,4.9,12,1887-12-01,tmax,UK
1888,jan,5.5,1,1888-01-01,tmax,UK
1888,feb,3.7,2,1888-02-01,tmax,UK
1888,mar,5.2,3,1888-03-01,tmax,UK
1888,apr,9.0,4,1888-04-01,tmax,UK
1888,may,14.1,5,1888-05-01,tmax,UK
1888,jun,16.3,6,1888-06-01,tmax,UK
1888,jul,16.0,7,1888-07-01,tmax,UK
1888,aug,16.9,8,1888-08-01,tmax,UK
1888,sep,15.4,9,1888-09-01,tmax,UK
1888,oct,11.4,10,1888-10-01,tmax,UK
1888,nov,8.9,11,1888-11-01,tmax,UK
1888,dec,7.1,12,1888-12-01,tmax,UK
1889,jan,5.8,1,1889-01-01,tmax,UK
1889,feb,5.2,2,1889-02-01,tmax,UK
1889,mar,7.3,3,1889-03-01,tmax,UK
1889,apr,9.4,4,1889-04-01,tmax,UK
1889,may,15.8,5,1889-05-01,tmax,UK
1889,jun,19.0,6,1889-06-01,tmax,UK
1889,jul,18.1,7,1889-07-01,tmax,UK
1889,aug,17.2,8,1889-08-01,tmax,UK
1889,sep,15.5,9,1889-09-01,tmax,UK
1889,oct,11.1,10,1889-10-01,tmax,UK
1889,nov,8.9,11,1889-11-01,tmax,UK
1889,dec,6.0,12,1889-12-01,tmax,UK
1890,jan,7.8,1,1890-01-01,tmax,UK
1890,feb,5.5,2,1890-02-01,tmax,UK
1890,mar,8.7,3,1890-03-01,tmax,UK
1890,apr,10.5,4,1890-04-01,tmax,UK
1890,may,15.2,5,1890-05-01,tmax,UK
1890,jun,16.5,6,1890-06-01,tmax,UK
1890,jul,17.0,7,1890-07-01,tmax,UK
1890,aug,17.2,8,1890-08-01,tmax,UK
1890,sep,17.9,9,1890-09-01,tmax,UK
1890,oct,12.5,10,1890-10-01,tmax,UK
1890,nov,8.3,11,1890-11-01,tmax,UK
1890,dec,2.2,12,1890-12-01,tmax,UK
1891,jan,4.2,1,1891-01-01,tmax,UK
1891,feb,8.4,2,1891-02-01,tmax,UK
1891,mar,6.4,3,1891-03-01,tmax,UK
1891,apr,9.2,4,1891-04-01,tmax,UK
1891,may,12.8,5,1891-05-01,tmax,UK
1891,jun,17.9,6,1891-06-01,tmax,UK
1891,jul,17.7,7,1891-07-01,tmax,UK
1891,aug,16.7,8,1891-08-01,tmax,UK
1891,sep,16.8,9,1891-09-01,tmax,UK
1891,oct,12.0,10,1891-10-01,tmax,UK
1891,nov,7.6,11,1891-11-01,tmax,UK
1891,dec,6.6,12,1891-12-01,tmax,UK
1892,jan,4.3,1,1892-01-01,tmax,UK
1892,feb,5.4,2,1892-02-01,tmax,UK
1892,mar,5.8,3,1892-03-01,tmax,UK
1892,apr,11.6,4,1892-04-01,tmax,UK
