from,to,forecast,actual,index
2026-05-26 23:00:00+00:00,2026-05-26 23:30:00+00:00,153,144.0,moderate
2026-05-26 23:30:00+00:00,2026-05-27 00:00:00+00:00,151,141.0,moderate
2026-05-27 00:00:00+00:00,2026-05-27 00:30:00+00:00,138,135.0,moderate
2026-05-27 00:30:00+00:00,2026-05-27 01:00:00+00:00,137,130.0,moderate
2026-05-27 01:00:00+00:00,2026-05-27 01:30:00+00:00,132,126.0,moderate
2026-05-27 01:30:00+00:00,2026-05-27 02:00:00+00:00,126,124.0,moderate
2026-05-27 02:00:00+00:00,2026-05-27 02:30:00+00:00,118,120.0,moderate
2026-05-27 02:30:00+00:00,2026-05-27 03:00:00+00:00,121,122.0,moderate
2026-05-27 03:00:00+00:00,2026-05-27 03:30:00+00:00,119,129.0,moderate
2026-05-27 03:30:00+00:00,2026-05-27 04:00:00+00:00,122,136.0,moderate
2026-05-27 04:00:00+00:00,2026-05-27 04:30:00+00:00,128,139.0,moderate
2026-05-27 04:30:00+00:00,2026-05-27 05:00:00+00:00,131,140.0,moderate
2026-05-27 05:00:00+00:00,2026-05-27 05:30:00+00:00,136,142.0,moderate
2026-05-27 05:30:00+00:00,2026-05-27 06:00:00+00:00,140,144.0,moderate
2026-05-27 06:00:00+00:00,2026-05-27 06:30:00+00:00,136,137.0,moderate
2026-05-27 06:30:00+00:00,2026-05-27 07:00:00+00:00,135,132.0,moderate
2026-05-27 07:00:00+00:00,2026-05-27 07:30:00+00:00,138,125.0,moderate
2026-05-27 07:30:00+00:00,2026-05-27 08:00:00+00:00,126,118.0,moderate
2026-05-27 08:00:00+00:00,2026-05-27 08:30:00+00:00,111,104.0,moderate
2026-05-27 08:30:00+00:00,2026-05-27 09:00:00+00:00,114,94.0,moderate
2026-05-27 09:00:00+00:00,2026-05-27 09:30:00+00:00,98,83.0,low
2026-05-27 09:30:00+00:00,2026-05-27 10:00:00+00:00,79,70.0,low
2026-05-27 10:00:00+00:00,2026-05-27 10:30:00+00:00,69,64.0,low
2026-05-27 10:30:00+00:00,2026-05-27 11:00:00+00:00,67,60.0,low
2026-05-27 11:00:00+00:00,2026-05-27 11:30:00+00:00,60,59.0,low
2026-05-27 11:30:00+00:00,2026-05-27 12:00:00+00:00,56,58.0,low
2026-05-27 12:00:00+00:00,2026-05-27 12:30:00+00:00,55,58.0,low
2026-05-27 12:30:00+00:00,2026-05-27 13:00:00+00:00,55,,low
2026-05-27 13:00:00+00:00,2026-05-27 13:30:00+00:00,57,,low
2026-05-27 13:30:00+00:00,2026-05-27 14:00:00+00:00,59,,low
2026-05-27 14:00:00+00:00,2026-05-27 14:30:00+00:00,62,,low
2026-05-27 14:30:00+00:00,2026-05-27 15:00:00+00:00,64,,low
2026-05-27 15:00:00+00:00,2026-05-27 15:30:00+00:00,66,,low
2026-05-27 15:30:00+00:00,2026-05-27 16:00:00+00:00,76,,low
2026-05-27 16:00:00+00:00,2026-05-27 16:30:00+00:00,86,,low
2026-05-27 16:30:00+00:00,2026-05-27 17:00:00+00:00,88,,low
2026-05-27 17:00:00+00:00,2026-05-27 17:30:00+00:00,99,,moderate
2026-05-27 17:30:00+00:00,2026-05-27 18:00:00+00:00,108,,moderate
2026-05-27 18:00:00+00:00,2026-05-27 18:30:00+00:00,115,,moderate
2026-05-27 18:30:00+00:00,2026-05-27 19:00:00+00:00,121,,moderate
2026-05-27 19:00:00+00:00,2026-05-27 19:30:00+00:00,123,,moderate
2026-05-27 19:30:00+00:00,2026-05-27 20:00:00+00:00,125,,moderate
2026-05-27 20:00:00+00:00,2026-05-27 20:30:00+00:00,122,,moderate
2026-05-27 20:30:00+00:00,2026-05-27 21:00:00+00:00,119,,moderate
2026-05-27 21:00:00+00:00,2026-05-27 21:30:00+00:00,114,,moderate
2026-05-27 21:30:00+00:00,2026-05-27 22:00:00+00:00,105,,moderate
2026-05-27 22:00:00+00:00,2026-05-27 22:30:00+00:00,102,,moderate
2026-05-27 22:30:00+00:00,2026-05-27 23:00:00+00:00,98,,moderate
