from,to,region_id,region,intensity_forecast_gco2_kwh,intensity_index
2026-05-27T12:00Z,2026-05-27T12:30Z,1,North Scotland,0,very low
2026-05-27T12:00Z,2026-05-27T12:30Z,2,South Scotland,1,very low
2026-05-27T12:00Z,2026-05-27T12:30Z,3,North West England,29,low
2026-05-27T12:00Z,2026-05-27T12:30Z,4,North East England,18,very low
2026-05-27T12:00Z,2026-05-27T12:30Z,5,Yorkshire,78,low
2026-05-27T12:00Z,2026-05-27T12:30Z,6,North Wales & Merseyside,31,low
2026-05-27T12:00Z,2026-05-27T12:30Z,7,South Wales,72,low
2026-05-27T12:00Z,2026-05-27T12:30Z,8,West Midlands,24,very low
2026-05-27T12:00Z,2026-05-27T12:30Z,9,East Midlands,36,low
2026-05-27T12:00Z,2026-05-27T12:30Z,10,East England,86,low
2026-05-27T12:00Z,2026-05-27T12:30Z,11,South West England,67,low
2026-05-27T12:00Z,2026-05-27T12:30Z,12,South England,66,low
2026-05-27T12:00Z,2026-05-27T12:30Z,13,London,81,low
2026-05-27T12:00Z,2026-05-27T12:30Z,14,South East England,82,low
2026-05-27T12:00Z,2026-05-27T12:30Z,15,England,58,low
2026-05-27T12:00Z,2026-05-27T12:30Z,16,Scotland,0,very low
2026-05-27T12:00Z,2026-05-27T12:30Z,17,Wales,46,low
2026-05-27T12:00Z,2026-05-27T12:30Z,18,GB,55,low
